,SP.DYN.LE00.IN
145,63.708
146,67.363
147,67.134
148,61.387
149,60.854
150,76.901
151,76.68
152,75.9317073170732
153,76.6829268292683
154,70.056
155,69.87
156,72.006
157,71.901
158,68.002
159,67.883
160,75.131
161,75.054
162,74.1770731707317
163,74.2358536585366
164,65.129
165,64.925
166,82.6536585365854
167,82.8585365853659
168,59.692
169,59.306
170,79.208
171,78.921
172,76.306
173,76.156
174,64.694
175,64.263
176,67.39
177,67.041
178,84.37
179,84.244
180,81.7414634146342
181,82.6390243902439
182,74.9292682926829
183,76.2829268292683
184,81.8073170731707
185,84.1609756097561
186,73.082
187,72.913
188,64.423
189,64.104
190,54.836
191,54.331
192,79.004
193,78.93
194,75.3878048780488
195,75.3878048780488
196,68.219
197,67.923
198,71.8
199,71.6
200,75.586
201,75.489
202,71.0878048780488
203,73.0926829268293
204,83.4268292682927
205,83.2268292682927
206,72.453
207,72.274
208,68.611
209,68.369
210,66.991
211,66.699
212,71.37
213,73.18
214,74.655
215,74.526
216,84.6156097560976
217,84.3563414634146
218,74.586
219,74.475
220,82.3439024390244
221,83.4975609756098
222,82.7
223,82.8048780487805
224,82.2048780487805
225,82.7024390243903
226,70.748
227,70.604
228,76.87
229,76.677
230,71.908
231,71.716
232,69.887
233,69.656
234,83.0658536585366
235,83.1634146341463
236,75.6170731707317
237,76.3195121951219
238,85.3878048780488
239,85.0780487804878
240,75.448
241,75.27
242,64.315
243,64.001
244,70.023
245,69.906
246,58.634
247,58.322
248,61.962
249,61.602
250,74.529
251,74.302
252,80.277
253,80.074
254,72.426
255,72.397
256,71.4046341463415
257,72.0475609756098
258,81.0878048780488
259,81.6390243902439
260,64.347
261,64.074
262,80.9414634146342
263,81.2926829268293
264,73.919
265,73.767
266,62.383
267,62.05
268,66.69
269,66.467
270,77.836
271,77.657
272,82.1756097560976
273,82.8268292682927
274,82.1317073170732
275,81.9829268292683
276,67.561
277,67.444
278,83.0926829268293
279,82.7926829268293
280,66.953
281,66.597
282,60.721
283,60.194
284,78.3463414634146
285,78.6463414634147
286,66.679
287,66.321
288,59.057
289,58.735
290,73.533
291,73.317
292,72.15
293,71.99
294,77.216
295,77.01
296,74.257
297,74.081
298,67.49
299,67.112
300,81.5512195121951
301,81.4512195121951
302,78.2268292682927
303,79.2292682926829
304,81.135
305,80.982
306,78.892
307,78.802
308,77.7243902439024
309,78.4243902439025
310,58.104
311,57.783
312,80.465
313,80.279
314,64.804
315,64.57
316,60.971
317,60.681
318,64.525
319,64.321
320,77.46
321,77.287
322,77.097
323,76.912
324,80.329
325,80.181
326,83.24
327,83.086
328,54.505
329,54.239
330,53.679
331,53.283
332,81.7487804878049
333,82.0487804878049
334,59.626
335,59.292
336,70.054
337,69.823
338,73.166
339,72.981
340,61.916
341,61.584
342,61.981
343,61.577
344,73.6073170731707
345,75.1121951219512
346,75.998
347,75.86
348,76.084
349,75.881
350,69.793
351,69.592
352,77.545
353,77.401
354,71.771
355,71.513
356,72.08
357,71.777
358,82.0560975609756
359,81.8665853658537
360,62.077
361,61.771
362,74.754
363,74.623
364,80.7951219512195
365,81.9951219512195
366,74.2268292682927
367,74.2268292682927
368,79.308
369,79.19
370,72.868
371,72.591
372,77.419
373,77.292
374,74.053
375,73.918
376,73.123
377,73.005
378,81.1926829268293
379,81.8951219512195
380,83.2
381,82.9
382,76.434
383,76.293
384,75.224
385,75.087
386,76.813
387,76.667
388,77.146
389,77.016
390,61.487
391,61.147
392,77.063
393,76.88
394,78.686
395,78.573
396,65.173
397,64.833
