,pib_per_capita
265,2270.0173008009
266,31421.6405367176
267,2227.88910263201
269,2121.94262992796
270,3372.47070844856
271,4299.54649293767
273,10238.0328092566
274,96670.4544835147
275,11220.6562290518
276,2994.2480910103
278,16164.3606876999
279,27439.8277870076
280,29702.7975286074
281,3770.85228711686
282,537.06162203648
283,28788.0628411374
284,1836.78656198318
285,975.619753498089
286,1402.34840843918
287,6958.97841729051
288,42071.2466779676
289,28940.8435140282
290,4791.89578399651
291,6244.74774377741
292,5771.58637567564
293,58484.1524018877
294,3502.793541962
295,9255.63475922544
296,12626.5230694675
297,68312.0412297611
298,2921.49606102265
299,8502.28457798044
300,703.832163650779
301,30230.8029655917
302,10798.703255492
303,37896.6969577575
305,10037.6659362732
306,3208.22995656918
307,3194.4206648905
308,2105.46649852451
309,434.835252306117
310,3811.63359260717
311,6839.94527306702
312,1836.86006827585
313,3111.43522494646
314,8138.15822291116
315,9865.32459912495
317,23054.7041847886
319,22861.884765625
320,17621.0541268449
321,28368.543282612
323,6649.27592795524
324,29437.3103446499
325,6969.6770859423
326,8770.25350162294
327,3570.13336729414
328,4275.99835765173
329,6078.83592727564
330,6572.21013201864
331,16756.305644892
332,6090.97348195428
333,6011.76132287778
334,26494.36990927
335,1639.08922934974
336,22949.1818514072
337,10314.2628230149
338,518.983816438834
339,23167.7141208656
340,2790.8899881192
341,27795.6749302444
342,6058.89394272148
343,27490.0517282233
345,2603.33430202453
346,14109.8729241929
347,27807.1693211993
348,3375.17908940605
349,1836.23087503813
351,1269.09221473544
352,2003.62653742858
353,1095.86922587657
354,13800.3688346367
355,20954.7818531943
356,7616.57382681786
358,4860.75066989961
360,6295.56392060771
361,28491.9905548416
362,28805.716640747
363,2647.34351729606
364,1355.35347932153
365,11655.644078154
366,2189.99912713298
367,13207.9221677974
368,4686.30060734533
369,4056.69276239479
370,1762.1844986292
371,2654.3243289106
372,4953.61359203239
373,1316.31811407269
375,2205.22504060893
377,32567.2821672353
378,11227.000575892
379,11156.3389574926
380,31876.0270631376
381,24944.6317328443
382,28033.7358660572
383,6529.75204109184
384,6267.61848315773
385,27942.346651133
386,8980.67438519956
387,1887.45372967789
388,1985.93021882352
